 Copyright (C) 1995-2014 - All Rights Reserved
 University Corporation for Atmospheric Research
 NCAR Command Language Version 6.2.0
 The use of this software is governed by a License Agreement.
 See http://www.ncl.ucar.edu/ for more details.


Variable: T (file variable)
Type: float
Total Size: 22915728 bytes
            5728932 values
Number of Dimensions: 4
Dimensions and sizes:	[Time | 33] x [bottom_top | 34] x [south_north | 69] x [west_east | 74]
Coordinates: 
Number Of Attributes: 6
  FieldType :	104
  MemoryOrder :	XYZ
  description :	perturbation potential temperature (theta-t0)
  units :	K
  stagger :	
  coordinates :	XLONG XLAT
(0,0,2,45)	4.709412
(0,0,2,46)	4.879211
(0,0,2,47)	4.69696
(0,0,2,48)	3.875763
(0,0,2,49)	3.200134
(0,0,2,50)	2.577576
(0,0,2,51)	2.160614
(0,0,2,52)	2.543884
(0,0,2,53)	3.611023
(0,0,2,54)	4.357147
(0,0,2,55)	4.077972
(0,0,2,56)	4.193512
(0,0,2,57)	6.375885
(0,0,2,58)	6.656738
(0,0,2,59)	6.641296
(0,0,2,60)	6.714935
(0,0,2,61)	6.766571
(0,0,2,62)	7.055511
(0,0,2,63)	7.429535
(0,0,2,64)	5.754578
(0,0,2,65)	4.778351
(0,0,2,66)	4.721527
(0,0,2,67)	5.654968
(0,0,2,68)	5.193329
(0,0,2,69)	4.979614
(0,0,2,70)	4.906036
(0,0,2,71)	4.886169
(0,0,2,72)	5.032257
(0,0,2,73)	5.295624
(0,0,3,0)	13.98193
(0,0,3,1)	13.67212
(0,0,3,2)	13.60724
(0,0,3,3)	12.82974
(0,0,3,4)	12.77795
(0,0,3,5)	11.99985
(0,0,3,6)	12.18048
(0,0,3,7)	12.54828
(0,0,3,8)	11.66177
(0,0,3,9)	10.97665
(0,0,3,10)	11.16174
(0,0,3,11)	9.527618
(0,0,3,12)	10.41113
(0,0,3,13)	10.81027
(0,0,3,14)	9.976227
(0,0,3,15)	10.75558
(0,0,3,16)	10.0751
(0,0,3,17)	10.10132
(0,0,3,18)	10.03137
(0,0,3,19)	10.05301
(0,0,3,20)	9.943085
(0,0,3,21)	9.778961
(0,0,3,22)	9.256012
(0,0,3,23)	9.419647
(0,0,3,24)	8.745087
(0,0,3,25)	8.759613
(0,0,3,26)	9.092224
(0,0,3,27)	8.27832
(0,0,3,28)	8.224335
(0,0,3,29)	8.260406
(0,0,3,30)	8.352722
(0,0,3,31)	8.192261
(0,0,3,32)	8.14151
(0,0,3,33)	7.929138
(0,0,3,34)	7.230865
(0,0,3,35)	6.72699
(0,0,3,36)	6.660187
(0,0,3,37)	6.651428
(0,0,3,38)	6.279236
(0,0,3,39)	5.725098
(0,0,3,40)	5.560303
(0,0,3,41)	5.424683
(0,0,3,42)	5.38443
(0,0,3,43)	5.284729
(0,0,3,44)	4.58374
(0,0,3,45)	4.491638
(0,0,3,46)	4.885406
(0,0,3,47)	4.353119
(0,0,3,48)	3.348053
(0,0,3,49)	2.829132
(0,0,3,50)	2.520752
(0,0,3,51)	2.417999
(0,0,3,52)	2.61676
(0,0,3,53)	3.113037
(0,0,3,54)	3.659058
(0,0,3,55)	3.890808
(0,0,3,56)	4.184143
(0,0,3,57)	5.655792
(0,0,3,58)	5.975433
(0,0,3,59)	6.010223
(0,0,3,60)	6.197571
(0,0,3,61)	6.407959
(0,0,3,62)	6.737396
(0,0,3,63)	7.510925
(0,0,3,64)	6.349091
(0,0,3,65)	6.104919
(0,0,3,66)	7.07196
(0,0,3,67)	6.441864
(0,0,3,68)	5.887238
(0,0,3,69)	5.53006
(0,0,3,70)	5.450867
(0,0,3,71)	5.288239
(0,0,3,72)	5.318604
(0,0,3,73)	5.549286
(0,0,4,0)	13.51804
(0,0,4,1)	13.34113
(0,0,4,2)	13.42593
(0,0,4,3)	13.56821
(0,0,4,4)	12.98816
(0,0,4,5)	12.42532
(0,0,4,6)	11.77417
(0,0,4,7)	12.15869
(0,0,4,8)	11.01941
(0,0,4,9)	11.09058
(0,0,4,10)	10.63486
(0,0,4,11)	9.826416
(0,0,4,12)	10.83289
(0,0,4,13)	10.55441
(0,0,4,14)	10.95282
(0,0,4,15)	10.79263
(0,0,4,16)	10.84653
(0,0,4,17)	10.24905
(0,0,4,18)	10.26294
(0,0,4,19)	10.09988
(0,0,4,20)	9.88269
(0,0,4,21)	9.782501
(0,0,4,22)	9.585938
(0,0,4,23)	9.101715
(0,0,4,24)	8.895569
(0,0,4,25)	9.047546
(0,0,4,26)	8.578766
(0,0,4,27)	8.539307
(0,0,4,28)	8.33078
(0,0,4,29)	8.456543
(0,0,4,30)	8.355469
(0,0,4,31)	8.052246
(0,0,4,32)	7.237274
(0,0,4,33)	6.71875
(0,0,4,34)	6.67984
(0,0,4,35)	6.435638
(0,0,4,36)	6.088165
(0,0,4,37)	5.968445
(0,0,4,38)	5.516815
(0,0,4,39)	5.096069
(0,0,4,40)	4.859528
(0,0,4,41)	4.688751
(0,0,4,42)	4.626007
(0,0,4,43)	4.517517
(0,0,4,44)	3.995728
(0,0,4,45)	4.054565
(0,0,4,46)	4.040558
(0,0,4,47)	3.532837
(0,0,4,48)	2.961761
(0,0,4,49)	2.822083
(0,0,4,50)	2.765259
(0,0,4,51)	2.772614
(0,0,4,52)	2.711426
(0,0,4,53)	2.578583
(0,0,4,54)	2.761353
(0,0,4,55)	3.291107
(0,0,4,56)	3.646698
(0,0,4,57)	4.759003
(0,0,4,58)	5.258514
(0,0,4,59)	5.515869
(0,0,4,60)	5.781281
(0,0,4,61)	6.06076
(0,0,4,62)	6.345947
(0,0,4,63)	7.230774
(0,0,4,64)	7.60968
(0,0,4,65)	7.576202
(0,0,4,66)	7.040009
(0,0,4,67)	6.545715
